office_name,BZKNr,filename,places_found,places_count
28/8/56 Krefeld,15261,1897_02_26_35_0.jpg,krefeld,1
41A Lübeck,423 259,1929_04_11_59_0.jpg,lübeck,1
A.-u.-R. I. Ostfildern,6 - 01236,1901_06_07_48_0.jpg,ostfildern,1
AG Eschwege,8 Ms 16/62,1935_08_13_23_0.jpg,eschwege,1
AG Nürnberg,73078/VII/15280,1879_07_01_8_0.jpg,nürnberg,1
Abend,80404/VII/22075,1927_05_05_2_0.jpg,abend,1
"Acco, Rech. Jabotinskii 26/8",133 924,1916_09_24_88_0.jpg,rech,1
Acyierung Frankfurt (Westf.),H 279 Kartei-Nr. 52.926,1911_11_04_44_0.jpg,frankfurt,1
Aegiernung Frankfurt (West),461.044.b,1913_03_17_19_0.jpg,frankfurt,1
Aegiernung Prüfera (Wehr.),461312,1935_09_30_29_0.jpg,wehr,1
Aegierung Aensberg (Welt.),462 429,1902_05_01_172_0.jpg,welt,1
Aegierung Amberg (Weff.),743 424,1893_04_17_17_0.jpg,amberg,1
Aegierung Paderborn (Meßl.),462 508,1921_08_01_37_0.jpg,paderborn,1
Aeglerung Amberg (Welf.),460 265 /b,1885_02_20_13_0.jpg,amberg,1
Aegypten (Welt),25 506 b,1915_04_27_38_0.jpg,welt,1
Aesiermann Amon (Wehr.),50 402 / c,1936_09_02_2_0.jpg,wehr,1
AfW Essen,207670,1927_02_12_63_0.jpg,essen,1
AfW Mettmann,262 654,1895_05_07_59_0.jpg,mettmann,1
AfW Mettmann,262 660,1898_08_11_33_0.jpg,mettmann,1
Agriculture Rosenberg (Wehrm.),163344,1917_11_07_55_0.jpg,rosenberg,1
Alden Bareits in Duisburg,3ST 1025 B,1910_02_14_131_0.jpg,duisburg,1
Alfeld,KS. Nr. 33,1900_02_20_55_0.jpg,alfeld,1
Alfeld,KS.Nr. 51,1908_06_05_67_0.jpg,alfeld,1
Alfeld,KS.Nr. 36,1893_01_19_29_0.jpg,alfeld,1
Alfeld,KS.Nr. 29,1905_01_24_12_0.jpg,alfeld,1
Alfeld,KS.Nr. 78,1882_12_17_37_0.jpg,alfeld,1
Alfeld,KS.Nr.115,1897_10_28_40_0.jpg,alfeld,1
Alfeld,KS. Nr. 32,1880_07_11_39_0.jpg,alfeld,1
Alfeld,KS.Nr. 12,1899_05_10_139_0.jpg,alfeld,1
Alfeld,KS.Nr. 1,1886_11_22_24_0.jpg,alfeld,1
Alfeld,KS.Nr. 21,1896_08_11_53_0.jpg,alfeld,1
Alfeld,,1907_05_07_16_0.jpg,alfeld,1
Alfeld,KS.Nr. 3,1901_12_11_44_0.jpg,alfeld,1
Alfeld,KS.Nr. 72,1898_07_01_52_0.jpg,alfeld,1
Alfeld,KS.Nr. 76,1902_08_02_108_0.jpg,alfeld,1
Alfeld,KS.Nr. 47,1902_02_16_44_0.jpg,alfeld,1
Alfeld,KS.Nr.50,1909_11_21_63_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 2,1903_03_14_75_0.jpg,alfeld,1
Alfeld/Leine,Alfeld,1900_08_06_66_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr.6,1908_02_19_49_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 86,1893_04_09_50_0.jpg,alfeld,1
Alfeld/Leine,,1878_12_17_15_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr.89,1881_11_08_26_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr.17,1895_04_06_62_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 17,1895_04_06_63_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 62,1899_05_11_34_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 18,1899_04_22_39_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 80,1899_11_08_35_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 96,1899_04_30_30_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 48,1886_02_20_17_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 91,1896_01_29_52_0.jpg,alfeld,1
Alfeld/Leine,26,1906_07_22_17_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr.94,1901_12_16_76_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 81,1898_10_24_34_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 15,1898_10_17_92_0.jpg,alfeld,1
Alfeld/Leine,KS.Nr. 101,1898_10_10_18_0.jpg,alfeld,1
Alfeld/Leine,Hoyershausen Nr. 5,1902_05_28_45_0.jpg,alfeld,1
Altenkirchen 'Westf.,axxxxx Nr.94,1915_01_03_65_0.jpg,altenkirchen,1
Altenkirchen Westerw,"a, xxx Nr. 51",1898_12_04_57_0.jpg,altenkirchen,1
Altenkirchen Westerw,"a,xxxx* Nr. 25",1898_05_05_177_0.jpg,altenkirchen,1
Altenkirchen Westerw.,"a, b, Nr. 15",1916_06_10_83_0.jpg,altenkirchen,1
Altenkirchen Westerw.,17,1874_01_12_7_0.jpg,altenkirchen,1
Altenkirchen Westerw.,56,1903_08_06_19_0.jpg,altenkirchen,1
Altenkirchen Westerw.,76,1900_09_20_59_0.jpg,altenkirchen,1
Altenkirchen Westerw.,12,1893_06_14_20_0.jpg,altenkirchen,1
Altenkirchen Westerw.,74,1905_09_28_47_0.jpg,altenkirchen,1
Altenkirchen Westerw.,58,1905_01_11_43_0.jpg,altenkirchen,1
Altenkirchen Westerw.,77,1883_09_13_9_0.jpg,altenkirchen,1
Altenkirchen Westerw.,64,1887_08_24_43_0.jpg,altenkirchen,1
Altenkirchen Westerw.,11,1887_10_17_19_0.jpg,altenkirchen,1
Altenkirchen Westerw.,"a, b, c, Nr. 26",1887_01_04_25_0.jpg,altenkirchen,1
Altenkirchen Westerw.,46,1887_07_06_50_0.jpg,altenkirchen,1
